French Name,scientific_name,ABBR,class
Troglodyte des marais,Cistothorus palustris,MAWR,1.0
Troglodyte de Caroline,Thryothorus ludovicianus,CARW,1.0
Troglodyte de Bewick,Thryomanes bewickii,BEWR,1.0
Troglodyte des cactus,Campylorhynchus brunneicapillus,CACW,1.0
Gobemoucheron gris-bleu,Polioptila caerulea,BGGN,1.0
Gobemoucheron de Californie,Polioptila californica,CAGN,2.0
Gobemoucheron à queue noire,Polioptila melanura,BTGN,1.0
Cincle d'Amérique,Cinclus mexicanus,AMDI,1.0
Bulbul à ventre rouge,Pycnonotus cafer,RVBU,2.0
Bulbul orphée,Pycnonotus jocosus,RWBU,2.0
Roitelet à couronne dorée,Regulus satrapa,GCKI,1.0
Roitelet à couronne rubis,Regulus calendula,RCKI,1.0
Pouillot boréal,Phylloscopus borealis,ARWA,2.0
Cama brune,Chamaea fasciata,WREN,1.0
Léiothrix jaune,Leiothrix lutea,RBLE,2.0
Shama à croupion blanc,Copsychus malabaricus,WRSH,2.0
